DCDetector_MSL_DCDetector_MSL_ftM_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9561,0.8695,0.6873,0.7677
NSTransformer_MSL_NSTransformer_MSL_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9566,0.8852,0.6764,0.7668
NSTransformer_PSM_NSTransformer_PSM_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9805,0.9849,0.944,0.964
NSTransformer_100_96_NSTransformer_SMD_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9864,0.854,0.8113,0.8321
NSTransformer_100_96_NSTransformer_SWaT_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9856,0.9474,0.9334,0.9404
MaelNet_100_96_MaelNet_SMD_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9864,0.854,0.8113,0.8321
MaelNet_100_96_MaelNet_SWaT_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9856,0.9473,0.9335,0.9404
MaelNet_PSM_MaelNet_PSM_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9804,0.9849,0.9439,0.964
MaelNet_MSL_MaelNet_MSL_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9566,0.8852,0.6765,0.7669
MaelNet_SMAP_MaelNet_SMAP_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9336,0.9141,0.5305,0.6714
NSTransformer_SMAP_NSTransformer_SMAP_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9439,0.9249,0.6113,0.7361
NSTransformer_SMD_NSTransformer_SMD_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9862,0.8581,0.7998,0.8279
NSTransformer_SWaT_NSTransformer_SWaT_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9843,0.9392,0.931,0.9351
NSTransformer_PSM_NSTransformer_PSM_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9837,0.9897,0.9511,0.97
NSTransformer_MSL_NSTransformer_MSL_ftM_dm512_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_Exp_h256_l2_0
Accuracy,Precision,Recall,F-score
0.9595,0.8895,0.7037,0.7857
