MaelNetB1_MaelNetS1_NegativeCorr_RL_1_MaelNetB1_MSL_ftM_dm55_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_test_0

Accuracy,Precision,Recall,F-score

0.9548,0.7062,0.9256,0.8012

MaelNetB1_MaelNetS1_NegativeCorr_RL_1_MaelNetB1_MSL_ftM_dm55_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_test_0

Accuracy,Precision,Recall,F-score

0.9546,0.7062,0.9245,0.8008

MaelNetB1_MaelNetS1_NegativeCorr_RL_4_MaelNetB1_MSL_ftM_dm55_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_test_0

Accuracy,Precision,Recall,F-score

0.9655,0.9085,0.8314,0.8682

MaelNetB1_MaelNetS1_SMAP_Negative_Corr_RL_1_MaelNetB1_SMAP_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Accuracy,Precision,Recall,F-score

0.9839,0.3213,0.7402,0.4481

MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_1_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Accuracy,Precision,Recall,F-score

0.8953,0.9941,0.144,0.2516

MaelNetB1_MaelNetS1_SWaT_Negative_Corr_RL_1_MaelNetB1_SWaT_ftM_dm51_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0

Accuracy,Precision,Recall,F-score

0.974,0.9629,0.9467,0.9547

MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_2_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.8954,0.9979,0.144,0.2517
MaelNetB1_MaelNetS1_SMAP_Negative_Corr_RL_2_MaelNetB1_SMAP_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9753,0.0,0.0,0.0
MaelNetB1_MaelNetS1_SWaT_Negative_Corr_RL_2_MaelNetB1_SWaT_ftM_dm51_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9729,0.962,0.9439,0.9529
MaelNetB1_MaelNetS1_MSL_Negative_Corr_RL_1_MaelNetB1_MSL_ftM_dm55_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9729,0.9205,0.8771,0.8983
MaelNetB1_MaelNetS1_MSL_Negative_Corr_RL_1_MaelNetB1_MSL_ftM_dm55_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9675,0.9122,0.8435,0.8765
MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_2_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.985,0.7389,0.3136,0.4403
MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_2_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9821,0.9981,0.9558,0.9765
MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_2_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9812,0.0,0.0,0.0
MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_2_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9846,0.7029,0.3136,0.4337
MaelNetB1_MaelNetS1_SMD_Negative_Corr_RL_3_MaelNetB1_SMD_ftM_dm38_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.9852,0.6631,0.4263,0.519
MaelNetB1_MaelNetS1_PSM_Negative_Corr_RL_3_MaelNetB1_PSM_ftM_dm25_nh8_el2_dl1_df2048_fc5_ebtimeF_dtTrue_test_0
Accuracy,Precision,Recall,F-score
0.6638,0.9926,0.1365,0.24
